	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
Dhx40	0	0	0	0	0	0	0.36267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43252	0	0	0	0	0	0	0.11633	0	0	0	0	0	0	0	0	0	0	0
Dnajc6	0.80453	0	0	0	0	0	0	0	0	0	0	0	0	0.98249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dot1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpy19l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4062	0.66137	0	0	0	0	0	0	0	0	0	0.25452	0	-0.31715	0	0	0	0.85735	0	0	0	0	0	0	0	0	0	0	0
Dusp1	0	0	0	0	0	0	0	0	0.92205	0	0	0	0	0	0	0	0	0.96737	0.80964	0	0	0	0	0.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp4	0	0.99735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66424	0	0	0	0	0	0	0	0	0
Edem1	0	0	0	0	0	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043861	0	0	0	0	0	0	0	0	0.5605	0	0	0	0	0	0	0	0	0.84709	0	0	0	0	0	0	0	0	0	0	0
Egln3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ehd1	0	-0.051994	0	0	0.83108	0	0	0	0	0	0	0	0	0	0	0	0	-0.94763	0	0	0.71563	0	-0.9027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8864	0	0	0	0	0	0	0	0
Ell2	0	0	0	0	0.56089	0	0	0	0.73867	0	0	0.6534	0	0	0	0	0	-0.66112	0.79863	0	0	0	0	0	0.39182	0	0	0	0.088906	0	0	0.76239	0	0	0	0	0.82347	0	0	0	0	0.71999	0	0.49319	0	0
Elovl5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64902	0	0	0	0	0	0	0	0	0	0	0
Emb	0	0	0	0	0	0	0	0	0	-0.98146	0.4505	0	0	0	0	0	0	-0.79123	0.7728	0	0.45304	0	0	0	0	0	0	0	0	0.7326	0	0	0	0	0.96469	0	0	0	0	0	0	0	0	0	0	0
Emd	0	0	0	0	0.73316	0	0	0	0	0	0.57225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37172	0	0	0	0	0	0	0	0	0
Enpp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epas1	0	0	0	0	0	0	0	0	0	0	0.44947	0.92205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7792	0	0	0	0	0	0	0	0	0
Epb4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0.053443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eprs	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92431	0	0	0	0	0	0	0.39266	0	0.87956	0	0
Erbb2ip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	0	0	0	0	0	0.65935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47387	0.8337	0	0	0	0	0.9949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
